Repository URL,Country code,CORE ID,OpenDOAR ID,ROAR ID,Software,Version
http://eprints.uthm.edu.my,my,434,,3825,eprints,
http://kups.ub.uni-koeln.de,DE,435,199,,eprints, 3.3
http://eprints.nbu.bg,BG,436,1196,,eprints, 3.3
http://oatao.univ-toulouse.fr,FR,437,1243,,eprints, 3.3
http://ub-madoc.bib.uni-mannheim.de,DE,438,2393,,eprints, 3.3
http://edoc.ku-eichstaett.de,DE,440,1545,,opus,
http://eprints.zu.edu.ua,ua,441,,1546,eprints, 3.3
http://biblioteca.ribei.org,ES,442,2326,,eprints, 3.3
http://drugg.fgg.uni-lj.si,si,443,,4869,na,na
http://thesesups.ups-tlse.fr,fr,445,,1215,eprints,
http://eprints.imtlucca.it,IT,446,2514,,eprints, 3.3
http://eprints.hec.gov.pk,PK,447,250,,dspace, 4.2
http://repo.uum.edu.my,my,448,,1361,eprints, 3.3
http://oar.icrisat.org,IN,449,,5056,eprints, 3.3
http://eprints.kfupm.edu.sa,SA,450,1285,,eprints,
http://eprints.lib.ui.ac.id,id,451,,3880,na,na
http://psasir.upm.edu.my,MY,452,1567,,eprints, 3.3
http://eprints.umm.ac.id,id,453,,3551,eprints, 3.3
http://epub.ub.uni-muenchen.de,DE,454,314,,eprints, 3.3
http://eprints.utas.edu.au,AU,455,351,,eprints, 3.3
http://publications.univ-tlse1.fr,FR,456,2710,,eprints, 3.3
http://d-scholarship.pitt.edu,US,457,342,,eprints, 3.3
http://eprints.upnjatim.ac.id,id,458,,4585,eprints,
http://eprints.oa.edu.ua,ua,460,,3744,eprints, 3.3
http://sammelpunkt.philo.at,AT,462,282,,eprints, 3.3
http://ru.iiec.unam.mx,mx,463,,4745,eprints, 3.3
http://ex-epsilon.slu.se,SE,465,501,,eprints, 3.3
http://aphasiology.pitt.edu,US,468,397,,eprints, 3.3
http://ethesis.inp-toulouse.fr,,470,,670,na,na
http://ir.lib.ncu.edu.tw,TW,472,1617,,na,na
http://openaccess.iyte.edu.tr,TR,1372,2661,,dspace, 5.5
http://earsiv.kmu.edu.tr,TR,1376,3145,,dspace, 4.1
http://dspace.nitrkl.ac.in,in,1377,,902,dspace,
http://dugi-doc.udg.edu,ES,1379,1264,,dspace, 5.6
http://dugifonsespecials.udg.edu,ES,1380,2348,,dspace, 5.6
http://diobma.udg.edu,es,1381,,447,dspace, 1.8
http://scholarship.law.duke.edu,US,1382,1645,,digital commons,
http://elib.suub.uni-bremen.de,de,1386,,504,na,na
http://elocus.lib.uoc.gr,GR,1387,1464,,na,na
http://epubs.rcsi.ie,IE,1388,1401,,digital commons,
http://e-publications.une.edu.au,AU,1389,1310,,dspace,
http://dspace.lu.lv,lv,1390,,4531,dspace,
https://ir.library.dc-uoit.ca,CA,1391,2679,,dspace, 3.1
http://eadnurt.diit.edu.ua,UA,1392,2667,,dspace, 5.5
http://archives.iupui.edu,US,1393,1191,,dspace, 6.2
https://earsiv.anadolu.edu.tr,tr,1394,,8522,dspace, 4.1
http://ecommons.aku.edu,gb,1396,,6502,digital commons,
https://ecommons.usask.ca,CA,1397,3747,,dspace, 6.4
http://edoc.vifapol.de,de,1398,,4416,opus,
http://quijote.biblio.iteso.mx,mx,1400,,4437,na,na
http://dspace.snu.edu.ua,ua,1401,,3996,na,na
http://dlibra.bibliotekaelblaska.pl,PL,1403,2241,,dlibra,
https://eldorado.tu-dortmund.de,DE,1404,134,,dspace, 5.4
http://www.regscience.hu,hu,1405,,8126,na,na
http://lib.khnu.km.ua,UA,1406,2431,,opus,
http://ela.kpi.ua,ua,1408,,6477,dspace, 6.1
http://elartu.tntu.edu.ua,ua,1409,,492,dspace, 5.6
http://earchive.tpu.ru,ru,1410,,10606,dspace, 5.4
http://elib.vsmu.by,BY,1411,3672,,dspace, 6.0
http://esnuir.eenu.edu.ua,UA,1412,2809,,dspace, 1.8
http://eir.nuos.edu.ua,ua,1414,,10505,dspace, 1.7
http://eir.pstu.edu,ua,1415,,7437,dspace, 3.2
http://eir.zntu.edu.ua,ua,1416,,9654,dspace, 4.2
http://dspace.kspu.kr.ua,ua,1417,,11062,na,na
http://pressto.amu.edu.pl,,2476,,,na,na
http://pressto.amu.edu.pl,,2477,,,na,na
http://pressto.amu.edu.pl,,2478,,,na,na
http://pressto.amu.edu.pl,,2479,,,na,na
http://pressto.amu.edu.pl,,2480,,,na,na
http://pressto.amu.edu.pl,,2481,,,na,na
